有效的	effective	valid	active
手的	manual
因中毒引起的	toxic
更远的	farther	further
另外的	otherwise	second	additional
业余的	amateur
柔和的	soft
（数量）较多的	superior
小心的	careful	discreet	prudent	cautious
无色的	white
定时的	time
级限的	threshold
愉快的	fragrant	gay	happy	jolly	merry	nice	sweet
好动的	restless
试验的	tentative	trial
指挥的	command	directory
间歇的	intermittent
寓言般的	fabulous
无法无天的	gay
（男人或其举止）故意带女子气的	camp
被争论的	controversial
包括…的	inclusive
最幸福的	best
政府首脑的	summit
固体的	solid
间接的	roundabout	secondary
深赤褐色的	liver
攸关的	fatal
最大值的	maximum	peak
未必的	unlikely
意义深远的	profound
有利于健康的	benign
可塑的	plastic
东北部的	northeast
随便哪一个	any
被朗读的	read
下落不明的	missing
随机的	random
同等的	coordinate
超越国界的	international
音乐的	musical
缺乏保护	naked
使人愉快的	fun	glad
不断变化的	dynamic
命中注定的	fatal
死气沉沉的	still
分布广的	widespread
各式各样的	different
斜纹的	bias
集中的	mass
教堂的	cathedral
精致的	fine	sophisticated	exquisite
骄慢	arrogant
一日的	daily
给人深刻印象	effective
必须使用的	regulation
多的	many
谐	humorous
定期发行的	periodical
新鲜的	crisp	fresh	new
太阳的	solar
棕黄色的	tan
保安的	security
腐烂的	corrupt	rotten
（对细节）不厌其烦的	thorough
保暖的	warm
好战的	militant	military
吵闹的	turbulent
晦涩的	obscure
红头发的	red
少量的	light	spare
防…的	proof
惟一剩下的	last
（亲属关系）近亲	near
陌生的	strange
自觉的	conscious
容光焕发的	radiant
西北部的	northwest
模仿的	simulate
高原（地区）的	highland
陈腐的	commonplace	fossil	stale
通晓的	familiar
艺术的	art	artistic	technical
光明	promising
相匹敌的	peer
有爱国心的	patriotic
疏远的	strange
新垦地的	frontier
明白道理的	reasonable
挑剔的	particular	select
（受）损坏的	hurt
精通文学的	literary
极恶的	enormous
祖国的	country
本质上的	inward
加的	plus
蔬菜的	vegetable
相继的	successive
相关联的	relevant
最令人不满的	worst
值得崇敬的	sacred
警惕的	awake	alert
（金属材料）制成薄板（或薄片）的	sheet
后者的	latter
（痛苦	conscious
[法]民事的	civil
绵	continuous
隐居的	solitary
初等	elementary
善感的	susceptible
地方自治的	municipal
动力的	dynamic
僵硬的	rigid	stiff	wooden
[商]人造的	technical
不尊敬的	regardless
偶尔的	occasional
初级的	elementary	preliminary
公道的	reasonable
愿意帮忙的	helpful
文艺）协会的	academic
术零值的	null
[美国英语]分期（付款）的	time
最愉快的	best
微弱的	faint	light	lunar	small	thin
亲自的	personal
橡胶制成的	rubber
传统的	classical	conventional
宝贵的	precious	valuable
危害极大的	terrible
没有活力的	still
花园的	garden
代理的	deputy	agent
失去的	missing
兆头好的	lucky
有构架的	frame
诡秘的	mysterious	sneak
全球性的	global
永恒的	constant	eternal	permanent
邪恶的	evil	foul	vicious	wicked	black
宿命的	weird
百分之…支付利息的	percent
紧凑的	compact	tight
荣誉的	glorious	honorable
代替的	vice	alternate
富饶的	rich
推想的	theoretical
普通教徒（有别于神职人员）的	lay
园艺的	garden
那样的	that
很	very
（质量等）低劣的	inferior
雌性的	female
高质量的	quality
接近末期的	later
单调的	bald	flat
机械学的	mechanical
艺术品的	art
注重实际的	practical
正转的	clockwise
冬播的	winter
资格老的	elder
脱脂的	skim
（味道）不浓的	mild
抵消的	offset
令人愉悦的	welcome
严重的(bad	worse
狡猾的	cunning	sharp	shrewd	slippery	sly	subtle	funny
大的	big	massive
高架的	overhead
消逝的	extinct
客座的	guest
外部的	outer	outside	exterior	external
昏乱的	dizzy
主要的	arch	chief	fundamental	key	king	leading	main	major	master	predominant	primary	principal
卵形的	oval
最大量的	maximum
两院的	joint
流畅	affluent
相当[类似]（另一种属）的	representative
梦的	dream
[语]宾格的	objective
有前途的	promising
（粒子）实际存在的	virtual
俚色情的	skin
〈美俚〉外表的	technical
带领	conduct
[桥牌]已成局的	vulnerable
美缺乏的	shy
口头的	oral	verbal
代议制的	representative
垂直的	erect	up	upright	vertical
适度的	moderate	modest
强健的	nervous
可应用的	applicable
合成的	complex	component	compound	resultant	synthetic
充沛	plentiful
偏离轨道的	eccentric
有重大意义的	significant
后部的	rear
口讨厌的	poisonous
属于家庭的	family
调皮的	arch
颜色强烈的	violent
冷淡的	brittle	cold	distant
北风	northern
（种类或数目）有限的	narrow
微薄的	slender
周年的	anniversary
本来的	proper
不固定的	fluid
[语]不发音的	silent
上流社会的	polite	quality	society
合成树脂做的	plastic
短期的	short
合理的	fair	just	legitimate	possible	rational	reasonable	sound
有作战经验的	veteran
某文化群体的	ethnic
拉丁的	Latin
群众的	mass
竖立的	up	vertical
看不清的	dim
有才华的	capable
兴旺的	prosperous
容忍的	tolerant
时髦的	fashionable	in
海事的	marine
有关系的	participant
很少	few
非强制的	optional
口渴的	dry	thirsty
鞣皮的	tan
三个的	three
稳健的	moderate	prudent	sane
平静的	calm	calm	peaceful
运动衫式的	sweater
精心制作的	elaborate
赤褐色的	bay
苛刻的	severe
一体的	one
新奇的	novel
（价值、比率等的）平均数的	average
[语]完成的	perfect
（直接）生效的	efficient
决不是的	no
规范的	orthodox
无用的	vain	waste	futile
毫无掩饰的	bald
花言巧语的	plausible
无言的	dumb	silent
运动衫的	sweater
值得推崇的	holy
愿意的	content	willing
情节离奇的	romantic
不含酒精的	soft
宇宙的	cosmic	universal
隔离的	apart	isolate
非常的	awful	deadly	extreme	such	terrific
具有创造性的	productive
值得尊敬的	holy
分解的	analytic
生产性的	productive
非正式美好的	brilliant
呆滞的	dull
地表层的	upper
有规则的	orderly	systematic
漂亮的	brave	cunning	elegant	feat	good	handsome	pretty	smart
放牧区的	range
适合于正式场合的	dress
两者都	both
孤儿的	orphan
据以取名	name
有过失的	faulty
立刻的	prompt	swift
贪吃的	greedy
怀疑的	suspicious
地理学]早期的	lower
合乎规范的	textbook
突增的	explosive
迅速生长的	mushroom
瓦解的	disrupt
稀薄的	rare	thin
规格一致的	uniform
很少的	few
无官职的	private
无预期结果的	negative
愤愤不平的	bitter	indignant
设计独特的	ingenious
学究的	academic
固有的	proper	resident	inherent	intrinsic
直线的	linear
在前头的	head
面积的	super
不受注意的	regardless
非此即彼的	either
[宗]肉体上的	outward
摄氏的	centigrade
生理的	physiological
准确的	exact	precision	accurate
细微的	small
稀奇的	curious
幸运的	fortunate	happy
仙女似的	fairy
等值的	worth
事实上的	real	virtual
将来的	future
上升的	up	upward
疼痛的	raw	sore
九十的	ninety
（指人）知名的	eminent
围绕的	shut
传奇（式）的	romantic
不重要的	trivial	petty
温和的	amiable	benign	gentle	moderate	smooth	soft	slow
严峻的	severe	stern
安排好的	set
我的(I的所有格形式)	my
远隔的	distant
使人痛苦的	cruel
西南的	southwest
苛择的	select
物]磁极的	polar
有野心的	ambitious
〈古〉污染的	contaminate
无情的	brutal	cold	cruel	ruthless
（打斗、比赛等）一对一的	single
一般大众的	vulgar
放荡的	gay
总结的	summary
外观的	surface
频繁的	continual	frequent
进步的	progressive
现存的	living
软的	soft
变态的	abnormal
蓝紫色的	violet
炫耀的	ambitious
美味的	delicious
有关节的	articulate
内面的	interior
凄凉的	desolate
土著的	native
有理性的	reasonable
自发的	spontaneous	voluntary	initiative
（智力、思想、行为）成熟的	adult
引起麻烦的	troublesome
纯洁的	virgin	white
卖空者的	bear
违反的	contrary
放肆的	extravagant
（记忆、描述等）清晰的	vivid
马拉的	horse
无礼的	offensive
大都会的	metropolitan
清澈的	liquid	clear
在前部的	fore
稻草[麦秆]做的	straw
过分的	extravagant	steep	super	excessive
更好的	preferable
全体一致的	unanimous
光秃的	bald
白衣的	white
标准的	normal	standard
殖民地的	colonial
著名的	classic	famous	name	notable	prominent
[法]直辖的	ordinary
敏捷的	fleet	prompt	ready	smart	swift	active	keen
广播的	broadcast
鲜亮的	bright
焦急的	anxious
易弯曲的	flexible
地位最低的	least
愤怒的	angry	indignant
耐洗的	wash
在西北的	northwest
散装的	bulk
少数的	minor
恶毒的	malignant	vicious
不一定有把握的	unlikely
[物]超声的	supersonic
冷酷无情的	marble
不漏的	tight
十一的	eleven
未来的	prospective	future
[生]显性的	dominant
英俊的	clever
巧克力色的	chocolate
高音的	first
产金的	golden
牙科的	dental
定期的	periodical	terminal	time
有…的价值	worth
例行公事的	ritual
极薄的	sheer
[化]元素的	elementary
新颖的	original
素菜的	vegetarian
用于音乐的	musical
古董的	antique
正当的	proper	valid
名字的	nominal
惬意的	cosy	agreeable
紧要关头的	clutch
天鹅绒的	velvet
数据的	digital
银的	lunar
潜伏的	latent
赤裸裸的	bald	naked
不情愿的	reluctant
痛苦的	hurt	painful
徒步的	pedestrian
被动的	passive
〈俚〉同性恋的	queer
外交人员的	diplomatic
光线）来自北方的	north
坚固的	firm	sturdy
仅仅	mere
（辅音）齿音的	dental
符合要求的	satisfactory
九的	nine
严酷的	cruel
悲观的	gloomy	pessimistic
与同性恋者有关的	pink
供传阅的	circular
主修的（课程）	major
复杂的	complex	complicate	elaborate	multiple	sophisticated
（表示厌烦）可恶的	damn
易传染的	infectious
恐慌的	panic
新入会的	initiate
虚伪的	false	hollow
有女性气质的	feminine
懦弱的	wet
麻木的	asleep	numb
本地的	home	local
迂回的	circular	roundabout
活着的	live	alive
金（黄）色的	golden
声音低沉的	shut
医疗的	medical
推理正确的	logical
充满噪音的	noisy
柔软的	plastic	smooth	soft	velvet
歇斯底里般的	hysterical
比较而言的	relative
（服装等）相称的	decent
冗长乏味的	tedious
内含的	implicit
间歇性	intermittent
获奖的	prize
（级别、地位等）较高的	senior
[物]能产生裂变物质的	fertile
看得见的	visible	visual
无价值的	barren	pathetic	slim	sorry	straw	tin	trivial
次要的	fringe	second	side	subordinate
不清楚的	obscure
彰	evident
财源的	financial
令人不快的	offensive
〈口〉爱挑三拣四的	select
发生着的	on
记录的	documentary
孤独的	desolate	lonely
感受性强的	recipient
底部的	bottom
水平的	flush	horizontal	level
可以允许的	possible
温柔的	mild	still	sweet	tender
（豆科植物等）如灌木般长得低矮的	bush
极度渴望的	desperate
承担责任	responsible
拥有最高统治权的	sovereign
顶上的	top
年轻人的	young
爬虫类的	reptile
阈值的	threshold
道德的	moral
较低的	lower	under	underneath
忠实的	constant	faithful	true
〈俚〉难得	lucky
（智力	limited
塑造的	plastic
没有特色的	anonymous
受欢迎的	welcome
动人的	eloquent
[植]雄性的	male
可以忽略的	negligible
本征	intrinsic
细木工制作的	cabinet
民主主义的	democratic
金钱上的	pocket
丝的	silk
数值的	numerical
胜任的	equal	adequate
天然产生的	spontaneous
简明的	brief	concise
文明的	christian	civil
有感觉的	feeling
节欲的	continent
主张保护环境的	green
深奥	deep
短的	short
对政治有兴趣的	political
辛辣的	spicy
行政工作的	staff
清洁的	clean
预期的	prospective
无虚价的	net
深厚的	deep	profound
不带电的	neutral
接受的	agreeable
眼睛的	optical
老实的	honest
漠不关心的	indifferent
用化学方法制造的	chemical
惊慌失措的	panic
大主教教区的	metropolitan
小气的	cheap	petty
营利的	commercial
微湿的	damp	moist
支配的	dominant
（英德）万亿的	billion
高深的	advanced
动机的	motive
一千的	thousand
粗陶制的	stone
周刊的	weekly
大众化的	popular
可实现的	practical
认真负责的	conscientious
称心的	gorgeous	sympathetic
鲁莽的	foolish	reckless	rash
可洗的	wash
走得快	fast
朴素的	sober
斗志昂扬的	militant
声音的	audio	vocal
本着良心的	conscientious
偏袒的	partial
蜡制的	wax
逆向的	inverse
手提的	portable
克制的	continent
同高度的	level
资本的	capital	principal
正的	plus
富有成效的	productive
知名的	public
令人遗憾的	sad
老百姓的	vulgar
闪色的	shot
奇特的（指态度	bizarre
模拟的	mock
不可能的	impossible
急忙的	hasty
作为对某事的保证的	token
感情强烈的	violent
超级的	super
青春期的	adolescent
试验性的	pilot	experimental
轻微的	mere	mild
菱形的	diamond
〔口语〕愤怒的	mad
可以	okay
包罗万象的	catholic
风采优雅的	clever
焦躁不安的	restless
恮	cautious
中等的	medium	moderate	secondary	indifferent
所有可能的	every
特殊的	peculiar	rare	special
由相同（或同类型）事物（或人）组成的	homogeneous
受伤的	game	hurt
数字的	digital	numerical
货币的	monetary
落后的	backward	primitive
极力主张的	urgent
全力的	main
壮观的	spectacular	splendid
暂时的	jury	temporary	interim
杰出的	banner	eminent	great	outstanding	prominent	star	superb	excellent	exceptional
较后的	latter
真诚的	genuine	real	sincere
无声的	dumb	mute	silent
平庸的	commonplace	ordinary
紧急的	emergency
轻便的	portable
灵活的	elastic	flexible	quick
相应特点的	correlate
精确的	exact	mathematical	narrow	precise	precision	strict	accurate
颜色浓[深]的	saturate
烧红的	red
未加工的	crude	raw
有抵抗力的	resistant
滔滔不绝的	affluent
护理的	attendant
四分之一	quarterly
（演讲者、演奏者等）特邀的	guest
外行的	lay	amateur
异常的	eccentric	novel	peculiar	remarkable	abnormal
有根据的	historical	authentic
做不到的	impossible
别扭的	sour
公职的	official
有责任的	liable
（太阳等）上升的	orient
摩西的	mosaic
无大差别的	blanket
能抵御	proof
（两同姓男孩中）年幼的	minor
可比较的	comparable
原子核的	nuclear
亲切的	gracious	nice	sweet
慎	careful
更熟练的	better
疯狂的	crazy	mad
无遮蔽的	bleak
易爆炸的	explosive
[植]纵长的	vertical
仅有的	only	unique
严守标准的	precision
有运动力的	locomotive
体谅的	considerate
欠着的	owing
国民的	national
发音清晰的	articulate
不足轻重	negligible
草率的	hasty
忠心的	loyal
防水的	waterproof
摄氏温度计的	centigrade
害羞的	shy
有精神的	live
现在的	current	now	present	actual
可疑的	dubious	queer	shady	suspect	suspicious	funny
有才干的	able
室内的	indoor	interior
不实际的	romantic
有黏着力的	cohesive
已确定的	certain
没过的	flush
独创的	original
[动]不迁徙的（鸟兽等）	resident
（法美）十亿的	billion
钉的	pin
电学的	electrical
详细的	particular
桶状的	barrel
明断的	judicial
（指线条、小径等）锯齿形的	zigzag
[法]根据法律的	technical
书桌的	desk
（头、手等）朝上举的	erect
东南的	southeast
严谨的	strict
内陆的	inland
戏剧的	dramatic
好争论的	controversial
信末署名前用语	yours
极广阔的	cosmic
头的	head
已死的	asleep
过时的	ancient	antique
怯懦的	coward
神经的	nervous
（智力等）完全丧失的	bankrupt
未醉的	sober
过剩的	surplus
偶然（发生）的	accidental
热的	hot	thermal
有重大意义[作用]的	relevant
永生的	eternal
有理解力的	comprehensive
明智的	sane	sensible	sound	advisable
差强人意的	adequate
群居的	social
未开化的	savage
一整夜的	overnight
用录像磁带[录像带]的	video
外用的	external
钟爱的	partial
指整体中的）每一个	every
常见的	frequent	usual
同类的	fellow	homogeneous	kin	similar
酸味的	acid
干的干燥的	dry
（指工具、机器等）多用途的	versatile
有木架的	frame
丰饶的	plentiful
适合全家人的	family
亲爱的	beloved	dear
辉煌的	bright	glorious
空闲的	empty	leisure	off	vacant
平顺的	even
完全可能的	every
唇的	lip
爱好文学的	literary
柏拉图学派的	academic
不切实际的	dream	fantastic
困倦的	tired
空白的	blank
客套的	polite
具体的	concrete	specific
统计学的	statistical
广泛散布的	broadcast
水晶般的	crystal
（时间或地点上）在先的	preceding
宽敞的	ample	spacious
（文章、照片等）跨两栏（或多栏）的	spread
书桌上用的	desk
普遍存在的	prevalent
癔病性	hysterical
图案诗歌的	concrete
蓬乱的	shock
百万的	million
带有玫瑰香味的	rose
（在质量等方面）较好的	superior
以奇想主题布置的	theme
过激的	extreme
最差的	worst
天真无邪的	innocent
随意的	arbitrary	optional
办公时（或半正式场合）穿戴的	dress
有眼光的	shrewd
荒年的	hungry
确切的	relevant	distinct
相等的	equal	equivalent
〈口〉精神病的	mental
不狂暴的	still
动态的	dynamic
[语法学]将来时的	future
故乡的	country
人工的	artificial
跛的	lame
基督教徒的	christian
光彩夺目的	gorgeous
坦白的	frank
节约的	economical	saving
不透水的	waterproof
下级的	lower	subordinate	inferior
压倒一切的	overwhelming
愤慨的	indignant
遗憾的	sorry
[数学、统计学]相容的	consistent
方便的	convenient	handy
属于或关于嘴的	oral
露天的	outdoor
语单数的	singular
液体的	fluid	liquid
视觉的	optical	visual
市的	municipal
军事的	military
（昆虫的翅）纵折的	complicate
难理解的	intricate
末端的	extreme	terminal
存货的	stock
影子内阁的	shadow
结实的	massive	solid
不相干的人所做的（或提供的）	independent
显赫的	eminent
耐久的	durable	permanent
荒诞的	absurd
内幕的	inside
[口语]（体力或情绪上）疲劳不堪的	beat
荦	prominent
不连贯的	abrupt
国务的	state
用功的	diligent
[植]菊科的	composite
同性恋的	gay
貌似的	apparent
同时发生的	simultaneous
期刊的	periodical
发炎的	raw
爵士音乐的	jazz
比所示数量多的	plus
有选举权的	constituent
直觉的	gut
深一层的	further
有智慧的	wise
旁注的	marginal
多才多艺的	versatile
严守时刻的	punctual
灭绝的	extinct
全然的	sheer
为晚上的	evening
混	foolish
生理学的	physiological
闪电般的	lightning
符合公认的准则的	correct
骄傲的	popular
未经加工的	rough
有学问的	learned	read	scientific
怀有敌意的	hostile
下雨的	wet
散开的	diffuse
其余的	other
厉害的	keen
老的	old
听觉的	audio	aural
[化]可溶的	soluble
（植物、动物或机器）能在困难条件下生存（或操作）的	tolerant
本能的	gut
主人的	master
耀眼的	vivid
紧的	fast	tight
关于野味的	game
唐突的	offensive	abrupt
常务的	permanent
零星的	scrap
给人印象深刻的	impressive
运气好的	lucky	prosperous
皮革制的	leather
先锋派的	underground
不顾危险的	reckless
快乐的	gay	happy	sweet
似蜡的	wax
生气勃勃的	vital
农村的	rural
象征性的	token
处于…地位（境遇	situated
手写的	manuscript
顺风的	following
外来的	foreign	exotic
按顺序的	tactic
可畏的	formidable
壮健的	muscular
用于探测的	detective
不太可能的	unlikely
速记法的	shorthand
飘逸	graceful
侧面的	lateral	side
殷勤的	courtesy
联绵	continuous
专用的	special	exclusive
凉爽的	cool
统治的	dominant
破旧的	shabby
带有同等性质的	coordinate
惭愧的	ashamed
闻达	eminent
意味深长的	meaning
半生熟的	medium
显露	patent
[军]值班的	orderly
醇美可口的	ripe
物红外线的	infrared
爱打架的	aggressive
撕碎的	rent
差劲的	lame
刺骨的	bleak
过长的	long
某一	certain
十三的	thirteen
偶然认识的	pickup
有英雄气概的	heroic
计划中的	on
次等的	second
钦佩的	wonder
月球的	lunar
讨人喜欢的	favorable
抽象派的	abstract
热心的	eager	earnest	enthusiastic	keen
烤好的	roast
高超	excellent
无须重视的	slight
失去感觉的	numb
有手腕的	diplomatic
时髦人物使用的	fashionable
精神饱满的	energetic
（位置在）下面的	inferior
普通的	any	common	commonplace	everyday	garden	household	medium	ordinary	popular	routine	usual
秃头的	bald
（颜色等）刺目的	angry
深色的	dark
正点的	punctual
镇定的	calm	steady
活（着）的	living
休戚相关的	solidary
主笔的	editorial
军事]野战的	field
根据实验的	experimental
直言的	explicit
夫妻（间）的	marital
[语]陈述的	indicative
当代风格的	modern
世故的	prudent
先前的	previous
忙碌的	busy
必然发生的	automatic	inevitable
[哲]实在论（者）的	realistic
官方的	official
（式样等）不时新的	conservative
可口的	delicious
有关赛跑（或赛马	post
青铜制的	bronze
立体声的	stereo
可以察觉的	noticeable
帝国的	imperial
<口>非常愉快的	glorious
装订的	bound
部分的	part	partial
离心的	eccentric
性质上的	qualitative
血腥的	bloody
[法]占有的	manual
引人注目的	attractive	catch	dramatic	noticeable	remarkable	striking	impressive
肯定的	positive	safe
（文体等）紧凑的	compact
代表性的	typical
表面下的	underlying
纯朴的	native
精密的	exact
皇帝的	imperial
这个	this
农业的	rural
赞同的	favorable	sympathetic
富产的	plentiful
作玩具的	toy
奢华的	luxury
猛烈的	drastic	fierce	mad
占线	busy
最重要的	capital	cardinal	chief	foremost	lead	main	principal	staple	supreme
舞蹈的	dance
没人住的	void
手工操作的	mechanical
有条不紊的	systematic
显目	conspicuous
模糊的	dark	faint	loose	vague
有权势的	influential
（与另一个）完全相同的	duplicate
依次排列的	tactic
妩媚动人的	striking
优先的	prior
保留的	reserve
约莫的	approximate
缺德的	wicked
内政的	municipal
肥沃的	fertile	fruitful	generous	rich
交融的	mobile
（统称）饥民	hungry
急切	eager
好心的	kind
同谋的	accessory
可以并存的	compatible
天生的	born	native	natural	natural
能感觉到的	sensible
供工业用的	industrial
不激动的	quiet
（海洋	calm
分别开的	separate
手工的	manual
（技术）熟练的	expert
不灵活的	awkward
松的	loose
词语的	verbal
法定的	legal	official
无意识的	automatic	spontaneous
坚决的	firm	resolute
军用的	military
内省的	subjective
（含有）巧克力的	chocolate
巨大的	enormous	giant	gigantic	huge	monster	overwhelming	tremendous	vast
不听话的	naughty
悲观主义的	pessimistic
开端的	offset	preliminary
丑陋的	ugly
丝制的	silk
器官的	organic
西南部的	southwest
周年纪念的	anniversary
长度的	linear
不存在的	nowhere
性急的	rash
可用的	available	feasible	practical
作为代表或范例的	sample
没头脑的	silly
完成的	complete
有…倾向的	apt	liable	prone
升高的	upward
背阴的	shady
过的	per
稀释的	dilute
每周的	weekly
位于…的	situated
相反的	contrary	counter	cross	wrong	adverse	inverse
喜欢的	fond
撇去浮沫的	skim
可以接受或允许的	susceptible
有传染性的	infectious
海的	marine
在起作用的	about
处理（或置放）废品的	disposal
假的	fake	straw
显要的	important
孤立的	isolate
随和的	sociable
青年的	young
下台的	out
麻烦的	complicated	complicate
（因省钱、省时或省力等而）收效大的	efficient
美学的	aesthetic
紧密结合的	cohesive
终有一死的	mortal
离奇的	crazy	extraordinary	bizarre
沉着的	confident	steady
慎重的	deliberate	discreet	prudent
辩证的	material
婴儿的	infant
辛勤挣得的	honest
悦耳的	musical	musical
傻的	fool
可爱的	cunning	darling	fairy	lovely	pleasant	precious
纯种的	genuine
（向或来自）外国的	overseas
不在意的	absent
传染的	infectious
过火的	ham
不在的	away
本国的	native
状态	on
边的	marginal
好笑的	comic	funny
吓人的	fearful
预兆的	aural
统计的	statistical
俯卧的	prone
每个工作日的	daily
已故的	late
宜人的	grateful
含银的	lunar
熟悉的	familiar	well-known
有创造力的	creative	plastic
树篱旁的	hedge
同时存在的	simultaneous
略低于某标准的	minus
定期废止的	sunset
美民主党的	democratic
贵族的	noble	peer
完全缺乏的	bankrupt
经济的	economic	economical
够资格的	sufficient
合乎常理的	logical
义务的	compulsory
晚年的	later
紧邻的	next
南风的	south
令人同情的	pathetic
学院的	academic
充满变数的	dynamic
[保险业]总体担保的	comprehensive
（最）重要的	grand
少女的	maiden
商人的	merchant
不共戴天的	mortal
仪器的	instrumental
鼎鼎大名	well-known
含蓄的	underlying
更厉害的	worse
最后一棒的	anchor
我同	two
猥亵的	broad
非正很糟的	terrible
其他的	else	other
矮小的	dwarf	low
昏暗的	bleak	dim	obscure
狂热的	enthusiastic	fierce	wild
螺旋形的	spiral
险峻的	rapid	steep
好交际的	sociable
后进的	junior
石头似的	stone
最基本的	staple
不好的	bad	wrong
话语）单调的	monotonous
季度的	quarterly
浅的	shallow
例外的	unusual	exceptional
商业区的	downtown
精华的	essential
各种各样的	various
（君主权力）受宪法限制的	limited
荒诞主义的	absurd
完整无缺的	intact
救助的	saving
现场的	spot
私有的	private
聪明的	apt	bright	clever	pretty	quick	sharp	smart	wise	ingenious	intelligent
易碎的	brittle	crisp	porcelain	fragile
抗…的	proof
光秃秃的	bare
作为正式工作人员的	staff
[医]他觉的	objective
视频的	video
需要技能的	skilled
了不起	terrific
艰险的	nasty
公众的	popular	public
由受话人付费的（美国英语）	collect
（关于）过去某一特定历史时期的	period
精心守护的	jealous
相当多的	some
锐的	acute
[化学]当量的	equivalent
一定尺寸的	size
结果必然产生的	resultant
放在口袋里的	pocket
（在）海外的	overseas
矮的	short
狭窄的	narrow
无信息的	blank
昂贵的	costly	dear	fancy	expensive
喜剧的	comic
（费用等）经常的	overhead
心理的	mental
独立的	solitary
罪恶的	evil
非实用的	academic
性情温良的	clever
一半的	half
辣	ruthless
百分之…的	percent
打草稿用的	scratch
明明白白的	apparent
坏脾气的	cross	sour
桃红色的	peach
由嗓音发出或产生的	vocal
瘸的	game	lame
磁性的	magnetic
远的(far的比较级)	farther
（名誉）扫地的	bankrupt
匀整的	neat
不假思索的	automatic
贪污的	corrupt
工会的	labor	union
变质的	degenerate
较年小的	junior
充其量的	capacity
显示人类特有弱点的	human
渴望（求）…的	thirsty
玫瑰色的	rose
兼容的	compatible
空的	blank	empty	hollow	void
一打的	dozen
思想的	mental
任何…也	whatever
该注意的	considerable
用钻石装饰的	diamond
相对的	opposite	relative
处女的	maiden	virgin
决断的	decisive
赤裸的	bare
有利可图的	profitable
名声不好的	hedge	shady
表现出崇高的	noble
稳定可靠的	together
倍受喜爱的	darling
花钱多的	expensive
[语]边音的	lateral
前部的	front
豪华的	grand	luxury	splendid	superb	expensive
挑选出来的	select
楼上的	upstairs
边地的	frontier
唯一的	only	unique	solitary
不停运动的	restless
（两者）都不的	neither
明白的	evident	manifest	wise	clear
富于想象的	pregnant
同意的	agreeable
木材）切成特定尺寸的	dimension
组成的	component	constituent
金色的	gold
伴随的	attendant
财政（上）的	monetary
坡陡的	prone
感人的	impressive
财务的	financial
突然的	overnight	sudden	unexpected	abrupt
顶点的	vertical
纯粹的	mere
东方人的	oriental
能劝告的	advisable
不做作的	natural
令人怜悯的	poor
（两者中）任一的	either
深红色的	cardinal
最终的	final
重沓	redundant
认知的	cognitive
紧密的	close
国有的	national
特殊场合的	occasional
厌恶的	reluctant
利己的	selfish
三年级的	junior
无理的	abrupt
盐渍的	salt
有天才的	ingenious
机动车的	motor
[数]负的	negative
利用太阳能的	solar
军舰的	naval
习惯于	used
得罪人的	clumsy
刺激性的	incentive
高音调的	high
有钱的	rich
映成的	onto
视力的	optical	visual
专业的	professional
十三个的	thirteen
有诀窍的	trick
讥讽的	sarcastic
许多	many
追加的	additional
殖民地化的	colonial
不抵抗的	passive
辐射状的	radiate
必修的	compulsory
集体的	collective
近底部的	lower
究竟哪个	whichever
中毒的	toxic
任何	any
实心的	solid
银色的	silver
身体的	personal	physical
繁茂的	rank
称职的	competent
世仇的	feudal
普遍赞同的	orthodox
分裂的	rent	split	disrupt
肉体的	animal	material
温和	kind
初次的	maiden
（色彩等）花哨恶俗的	jazz
肌肉绷紧的	tense
有利的	beneficial	favorable
驯服的	tame
天赐的	divine
顽强的	iron
（蜜一样）甘美的	honey
（人或其举止）优美的	elegant
集群的	colonial
松软的	limp
（程度）很大的	supreme
紫外的	ultraviolet
和谐的	compatible
超音速的	supersonic
不断前进的	progressive
可耻的	criminal
无经验的	fresh	raw
气味的	aural
亲切友好的	cosy	lovely
昏迷不醒的	stupid
形形色色的	diverse
深刻的	deep
同样的	same	similar	alike
衣衫褴褛的	shabby
地位较高的	upper
不易相处的	difficult
空想的	fantastic	romantic	aerial
直的	direct	straight
按照（或依据）书本的	book
拉丁语的	Latin
甜言蜜语的	candy
大胆的	confident
有希望的	likely	promising	prospective
等价的	equivalent
近代的	modern	recent
年纪较大的	elder
曲折	intricate
脱离常轨的	deviate
恶性的	malignant
极限的	extreme	ultimate
不信任的	suspicious
叙述的	narrative
（时间上）稍前的	previous
在位的	in
驾驶员的	pilot
必须的	integral
剩下的（钱等）	spare
〈美俚〉（服饰）花哨的	candy
最多的	most
需用智力的	intellectual
僻静的	quiet
顾虑周到的	prudent
在附近的	nearby	about
（协议）无法律效力	null
更好的(good和well的比较级)	better
多情的	fond	romantic
蛋白质的	protein
占先的	prior
繁华的	busy
肥的	fat
得意的	proud
不可更改的	final
比得上的	comparable
科学的	scientific
有关的	relevant
难以相处的	brittle
热湿的	sticky
不相干的	foreign
爆炸的	explosive
不可思议的	magic	marvelous	mysterious	weird	incredible
心神不安的	uneasy
单个的	solitary
部落的	ethnic
对面的	opposite
粗暴的	tough
副本的	duplicate
体贴的	considerate	kind	thoughtful
（表达或感知）含糊的	vague
细致的	nice	precision
[生]变异的	variable
未搀水的	neat
有病的	funny	invalid
尽责的	responsible
